ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,buy_threshold,total_oos_trades,counter_trend_multiplier,obv_divergence_cap,gates,rows
AKBNK.IS,OK,7,2.94,0.0,-5.7914,-4.6857,6.34,True,22.0,7,0.0,15.0,ON,753
ARCLK.IS,OK,7,0.29,0.0,-4.9314,0.0429,-3.3157,False,22.0,6,0.0,15.0,ON,753
ASELS.IS,OK,7,11.6971,10.96,-6.4643,-63.4914,54.0057,True,22.0,10,0.0,15.0,ON,753
ASTOR.IS,OK,7,2.3671,-1.32,-8.9714,41.9886,-19.6743,False,22.0,13,0.0,15.0,ON,753
BIMAS.IS,OK,8,-1.63,0.45,-7.7363,38.5375,5.1275,True,22.0,13,0.0,15.0,ON,756
EKGYO.IS,OK,7,-1.8957,-7.29,-10.6243,-7.87,-5.0657,False,22.0,10,0.0,15.0,ON,753
ENKAI.IS,OK,7,1.34,-0.6,-10.23,-1.0829,16.69,True,22.0,11,0.0,15.0,ON,753
EREGL.IS,OK,7,-2.6343,-5.04,-9.5543,-38.8829,-3.9571,False,22.0,10,0.0,15.0,ON,754
FROTO.IS,OK,7,-1.5957,-4.47,-6.8271,-401.13,-9.05,False,22.0,12,0.0,15.0,ON,754
GARAN.IS,OK,7,5.3443,7.66,-5.9829,-2.3314,22.1671,True,22.0,9,0.0,15.0,ON,753
GUBRF.IS,OK,7,4.8314,8.03,-7.4357,2.3686,32.0357,True,22.0,12,0.0,15.0,ON,753
HEKTS.IS,OK,7,-6.0929,0.0,-15.3243,-2.33,-42.9457,False,22.0,10,0.0,15.0,ON,753
ISCTR.IS,OK,7,0.7686,3.14,-8.7671,-16.1,21.2957,True,22.0,10,0.0,15.0,ON,753
KCHOL.IS,OK,7,-2.3686,0.0,-9.4457,-59.9329,-4.5657,False,22.0,13,0.0,15.0,ON,753
KONTR.IS,OK,7,-16.5271,-19.48,-20.6371,-30.4943,-24.19,False,22.0,14,0.0,15.0,ON,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,,,0.0,,ON,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,,,0.0,,ON,0
KRDMD.IS,OK,7,2.3471,5.4,-10.3814,-14.77,6.1186,True,22.0,11,0.0,15.0,ON,753
ODAS.IS,OK,7,-1.4271,-1.55,-8.7686,-62.5257,-23.7657,False,22.0,11,0.0,15.0,ON,753
OYAKC.IS,OK,7,1.5329,0.0,-7.6643,-2.2186,25.6457,True,22.0,11,0.0,15.0,ON,754
PETKM.IS,OK,7,6.1514,5.18,-7.3757,352.8414,-5.3957,False,22.0,8,0.0,15.0,ON,753
PGSUS.IS,OK,7,-2.0143,0.0,-7.6157,-1.5671,-3.4271,False,22.0,10,0.0,15.0,ON,754
SAHOL.IS,OK,7,0.9814,2.46,-8.1929,11.5086,30.5429,True,22.0,12,0.0,15.0,ON,753
SASA.IS,OK,7,-3.8786,-1.57,-9.8486,-4.1329,-21.3671,False,22.0,11,0.0,15.0,ON,754
SISE.IS,OK,7,0.9171,1.77,-7.9157,-65.3486,-0.8786,False,22.0,13,0.0,15.0,ON,753
TAVHL.IS,OK,7,-5.2886,-7.95,-11.2314,7.5257,19.5829,True,22.0,13,0.0,15.0,ON,753
TCELL.IS,OK,7,0.4114,0.0,-2.6229,0.0,9.4786,True,22.0,4,0.0,15.0,ON,753
THYAO.IS,OK,7,-0.1357,-3.49,-7.8386,-10.3771,-5.37,False,22.0,12,0.0,15.0,ON,753
TOASO.IS,OK,7,2.24,0.0,-5.1757,-2.0471,7.1,True,22.0,8,0.0,15.0,ON,753
TUPRS.IS,OK,7,5.71,6.9,-7.1029,29.6157,9.5714,False,22.0,13,0.0,15.0,ON,753
